******************************************************************
EQU:
******************************************************************
key: THAT, value: 4, line num: 0
key: RET_ADDRESS_CALL313, value: 26206, line num: 27022
key: RET_ADDRESS_CALL82, value: 4983, line num: 5192
key: RET_ADDRESS_CALL314, value: 26352, line num: 27177
key: RET_ADDRESS_CALL83, value: 5006, line num: 5216
key: RET_ADDRESS_CALL315, value: 26375, line num: 27202
key: RET_ADDRESS_CALL84, value: 5024, line num: 5235
key: string.charat$if_false0, value: 25466, line num: 26251
key: RET_ADDRESS_CALL316, value: 26497, line num: 27330
key: RET_ADDRESS_CALL85, value: 5042, line num: 5254
key: LOOP_string.intvalue, value: 25891, line num: 26695
key: RET_ADDRESS_CALL317, value: 26561, line num: 27395
key: RET_ADDRESS_CALL86, value: 5060, line num: 5273
key: RET_ADDRESS_CALL318, value: 26759, line num: 27599
key: RET_ADDRESS_CALL87, value: 5078, line num: 5292
key: RET_ADDRESS_CALL319, value: 27023, line num: 27872
key: RET_ADDRESS_CALL88, value: 5096, line num: 5311
key: RET_ADDRESS_CALL89, value: 5114, line num: 5330
key: memory.poke, value: 8590, line num: 8968
key: math.abs$if_true0, value: 6796, line num: 7101
key: string.appendchar$if_false0, value: 25720, line num: 26517
key: LOOP_ball.bounce, value: 1837, line num: 1910
key: output.drawchar$if_end0, value: 19210, line num: 19751
key: output.drawchar$while_end0, value: 19344, line num: 19886
key: RET_ADDRESS_EQ30, value: 25431, line num: 26213
key: RET_ADDRESS_EQ31, value: 25569, line num: 26358
key: RET_ADDRESS_EQ32, value: 25690, line num: 26484
key: RET_ADDRESS_EQ33, value: 25829, line num: 26628
key: RET_ADDRESS_EQ34, value: 25926, line num: 26731
key: string.appendchar$if_true0, value: 25697, line num: 26492
key: RET_ADDRESS_EQ35, value: 25992, line num: 26800
key: RET_ADDRESS_EQ36, value: 26327, line num: 27150
key: screen.drawrectangle, value: 22354, line num: 23026
key: RET_ADDRESS_EQ37, value: 26779, line num: 27621
key: RET_ADDRESS_CALL320, value: 27070, line num: 27924
key: screen.drawhorizontal$while_end0, value: 24110, line num: 24836
key: RET_ADDRESS_CALL321, value: 27087, line num: 27942
key: RET_ADDRESS_CALL90, value: 5132, line num: 5349
key: RET_ADDRESS_CALL322, value: 27104, line num: 27960
key: RET_ADDRESS_CALL91, value: 5150, line num: 5368
key: RET_ADDRESS_CALL323, value: 27121, line num: 27978
key: RET_ADDRESS_CALL92, value: 5168, line num: 5387
key: RET_ADDRESS_CALL324, value: 27138, line num: 27996
key: END_GT, value: 35, line num: 37
key: RET_ADDRESS_CALL93, value: 5180, line num: 5400
key: RET_ADDRESS_CALL325, value: 27155, line num: 28014
key: RET_ADDRESS_CALL94, value: 5231, line num: 5455
key: RET_ADDRESS_CALL326, value: 27172, line num: 28032
key: RET_ADDRESS_CALL95, value: 5337, line num: 5565
key: RET_ADDRESS_CALL327, value: 27236, line num: 28103
key: RET_ADDRESS_CALL96, value: 5362, line num: 5591
key: output.drawchar$if_false0, value: 19161, line num: 19701
key: string.dispose$if_true0, value: 25286, line num: 26060
key: RET_ADDRESS_CALL328, value: 27371, line num: 28247
key: RET_ADDRESS_CALL97, value: 5388, line num: 5618
key: string.eraselastchar, value: 25801, line num: 26599
key: RET_ADDRESS_CALL329, value: 27389, line num: 28266
key: RET_ADDRESS_CALL98, value: 5415, line num: 5646
key: math.divide$while_exp0, value: 7504, line num: 7842
key: RET_ADDRESS_CALL99, value: 5684, line num: 5928
key: math.divide$while_exp1, value: 7841, line num: 8187
key: math.min$if_false0, value: 8444, line num: 8819
key: ball.setdestination$if_true0, value: 826, line num: 851
key: bat.new, value: 2659, line num: 2771
key: array.new$if_true0, value: 5833, line num: 6086
key: RET_ADDRESS_CALL0, value: 145, line num: 149
key: screen.drawconditional$if_false0, value: 21252, line num: 21885
key: RET_ADDRESS_CALL1, value: 163, line num: 169
key: math.min, value: 8406, line num: 8778
key: RET_ADDRESS_CALL2, value: 333, line num: 340
key: RET_ADDRESS_CALL3, value: 376, line num: 385
key: string.charat$if_true0, value: 25443, line num: 26226
key: RET_ADDRESS_CALL4, value: 418, line num: 429
key: RET_ADDRESS_CALL5, value: 441, line num: 453
key: RET_ADDRESS_CALL6, value: 480, line num: 494
key: ponggame.moveball$if_false0, value: 5802, line num: 6052
key: math.divide, value: 7287, line num: 7613
key: RET_ADDRESS_CALL7, value: 503, line num: 518
key: ponggame.moveball$if_false1, value: 5771, line num: 6019
key: output.backspace, value: 20134, line num: 20725
key: RET_ADDRESS_CALL8, value: 588, line num: 605
key: ponggame.moveball$if_false2, value: 5771, line num: 6018
key: RET_ADDRESS_CALL9, value: 747, line num: 769
key: ball.move$if_false10, value: 1801, line num: 1871
key: ponggame.moveball$if_false3, value: 5576, line num: 5815
key: ponggame.moveball$if_false4, value: 5625, line num: 5867
key: ball.setdestination$if_false0, value: 930, line num: 958
key: sys.error, value: 27353, line num: 28228
key: math.multiply$if_true0, value: 6990, line num: 7306
key: memory.dealloc$if_end0, value: 9848, line num: 10254
key: math.multiply$if_true1, value: 7115, line num: 7436
key: memory.dealloc$if_end1, value: 9848, line num: 10253
key: RET_ADDRESS_CALL330, value: 27407, line num: 28285
key: math.multiply$if_true2, value: 7261, line num: 7585
key: RET_ADDRESS_CALL331, value: 27425, line num: 28304
key: RET_ADDRESS_CALL200, value: 15246, line num: 15722
key: RET_ADDRESS_CALL332, value: 27437, line num: 28317
key: RET_ADDRESS_CALL201, value: 15315, line num: 15792
key: RET_ADDRESS_CALL333, value: 27461, line num: 28342
key: RET_ADDRESS_CALL202, value: 15388, line num: 15866
key: RET_ADDRESS_CALL334, value: 27478, line num: 28360
key: RET_ADDRESS_CALL203, value: 15467, line num: 15946
key: screen.clearscreen$while_exp0, value: 20602, line num: 21211
key: RET_ADDRESS_CALL204, value: 15552, line num: 16032
key: RET_ADDRESS_CALL205, value: 15631, line num: 16112
key: math.sqrt$if_false0, value: 8134, line num: 8493
key: RET_ADDRESS_CALL206, value: 15716, line num: 16198
key: ball.bounce$if_false0, value: 1963, line num: 2041
key: math.sqrt$if_false1, value: 8324, line num: 8690
key: RET_ADDRESS_CALL207, value: 15795, line num: 16278
key: ball.move$if_end0, value: 1401, line num: 1450
key: ball.bounce$if_false1, value: 2071, line num: 2155
key: RET_ADDRESS_CALL208, value: 15880, line num: 16364
key: ball.move$if_end1, value: 1401, line num: 1449
key: ball.bounce$if_false2, value: 2227, line num: 2319
key: RET_ADDRESS_CALL209, value: 15963, line num: 16448
key: ball.move$if_end2, value: 1333, line num: 1376
key: ball.bounce$if_false3, value: 2364, line num: 2462
key: ponggame.getinstance, value: 4531, line num: 4710
key: ball.move$if_end3, value: 1401, line num: 1448
key: ball.bounce$if_false4, value: 2507, line num: 2611
key: ball.move$if_end4, value: 1551, line num: 1609
key: ball.move$if_end5, value: 1483, line num: 1536
key: ball.move$if_end6, value: 1551, line num: 1608
key: ponggame.new, value: 3930, line num: 4085
key: LOOP_output.drawchar, value: 19023, line num: 19558
key: memory.init, value: 8453, line num: 8829
key: string.setint$if_end4, value: 27003, line num: 27851
key: screen.updatelocation$if_end0, value: 20883, line num: 21498
key: screen.setcolor, value: 20889, line num: 21505
key: array.new$if_false0, value: 5856, line num: 6111
key: math.divide$while_end0, value: 7841, line num: 8186
key: math.divide$while_end1, value: 8039, line num: 8390
key: LOOP_output.createshiftedmap, value: 18458, line num: 18970
key: screen.drawline$while_exp0, value: 22102, line num: 22763
key: RET_ADDRESS_GT0, value: 1571, line num: 1630
key: keyboard.keypressed, value: 5924, line num: 6184
key: RET_ADDRESS_CALL210, value: 16048, line num: 16534
key: RET_ADDRESS_GT1, value: 1695, line num: 1760
key: ball.bounce$if_true0, value: 1946, line num: 2023
key: RET_ADDRESS_CALL211, value: 16131, line num: 16618
key: ball.bounce$if_true1, value: 2054, line num: 2137
key: RET_ADDRESS_GT2, value: 3579, line num: 3721
key: RET_ADDRESS_CALL212, value: 16216, line num: 16704
key: string.doublequote, value: 27050, line num: 27902
key: ball.bounce$if_true2, value: 2110, line num: 2198
key: RET_ADDRESS_GT3, value: 5254, line num: 5479
key: math.sqrt$while_exp0, value: 8146, line num: 8506
key: RET_ADDRESS_CALL213, value: 16301, line num: 16790
key: ball.bounce$if_true3, value: 2253, line num: 2347
key: RET_ADDRESS_GT4, value: 5469, line num: 5703
key: RET_ADDRESS_CALL214, value: 16386, line num: 16876
key: ball.new, value: 145, line num: 150
key: ball.bounce$if_true4, value: 2390, line num: 2490
key: RET_ADDRESS_GT5, value: 5608, line num: 5848
key: RET_ADDRESS_CALL215, value: 16465, line num: 16956
key: output.createshiftedmap$while_exp0, value: 18499, line num: 19013
key: RET_ADDRESS_GT6, value: 5823, line num: 6075
key: RET_ADDRESS_CALL216, value: 16544, line num: 17036
key: output.createshiftedmap$while_exp1, value: 18646, line num: 19163
key: RET_ADDRESS_GT7, value: 6002, line num: 6268
key: RET_ADDRESS_CALL217, value: 16623, line num: 17116
key: RET_ADDRESS_GT8, value: 6048, line num: 6316
key: RET_ADDRESS_CALL218, value: 16704, line num: 17198
key: RET_ADDRESS_GT9, value: 6861, line num: 7171
key: RET_ADDRESS_CALL219, value: 16785, line num: 17280
key: output.getmap$if_end1, value: 19012, line num: 19545
key: string.setint$while_exp0, value: 26449, line num: 27280
key: string.setint$while_exp1, value: 26854, line num: 27699
key: bat.setwidth, value: 3133, line num: 3261
key: keyboard.readline$if_false0, value: 6402, line num: 6693
key: keyboard.readline$if_false1, value: 6366, line num: 6654
key: screen.clearscreen$while_end0, value: 20695, line num: 21306
key: RET_ADDRESS_GT10, value: 6881, line num: 7192
key: RET_ADDRESS_GT11, value: 7108, line num: 7428
key: ball.getright, value: 620, line num: 639
key: math.abs$if_false0, value: 6813, line num: 7119
key: RET_ADDRESS_GT12, value: 7371, line num: 7704
key: screen.clearscreen, value: 20598, line num: 21206
key: screen.drawhorizontal$if_false0, value: 24145, line num: 24874
key: string.setint$if_false0, value: 26357, line num: 27183
key: RET_ADDRESS_GT13, value: 7391, line num: 7725
key: memory.alloc, value: 8643, line num: 9022
key: screen.drawhorizontal$if_false1, value: 23971, line num: 24692
key: string.setint$if_false1, value: 26436, line num: 27266
key: RET_ADDRESS_GT14, value: 7790, line num: 8131
key: string.setint$if_false2, value: 26716, line num: 27553
key: RET_ADDRESS_GT15, value: 7860, line num: 8207
key: string.setint$if_true0, value: 26334, line num: 27158
key: string.setint$if_false3, value: 26764, line num: 27605
key: RET_ADDRESS_GT16, value: 7909, line num: 8257
key: RET_ADDRESS_CALL220, value: 16864, line num: 17360
key: string.setint$if_true1, value: 26404, line num: 27233
key: string.setint$if_false4, value: 26843, line num: 27687
key: RET_ADDRESS_GT17, value: 8165, line num: 8526
key: RET_ADDRESS_CALL221, value: 16943, line num: 17440
key: string.setint$if_true2, value: 26646, line num: 27482
key: RET_ADDRESS_GT18, value: 8275, line num: 8638
key: RET_ADDRESS_CALL222, value: 17028, line num: 17526
key: string.setint$if_true3, value: 26741, line num: 27580
key: RET_ADDRESS_GT19, value: 8377, line num: 8746
key: RET_ADDRESS_CALL223, value: 17107, line num: 17606
key: string.setint$if_true4, value: 26786, line num: 27629
key: RET_ADDRESS_CALL224, value: 17186, line num: 17686
key: RET_ADDRESS_CALL225, value: 17265, line num: 17766
key: RET_ADDRESS_CALL226, value: 17344, line num: 17846
key: output.movecursor$if_false0, value: 19459, line num: 20009
key: screen.drawline$if_end2, value: 21922, line num: 22578
key: RET_ADDRESS_CALL227, value: 17425, line num: 17928
key: screen.drawline$if_end3, value: 22284, line num: 22953
key: RET_ADDRESS_CALL228, value: 17504, line num: 18008
key: screen.drawline$if_end4, value: 22284, line num: 22952
key: LOOP_math.divide, value: 7289, line num: 7616
key: RET_ADDRESS_CALL229, value: 17589, line num: 18094
key: sys.halt$while_exp0, value: 27177, line num: 28039
key: bat.show, value: 2827, line num: 2944
key: math.min$if_true0, value: 8431, line num: 8805
key: string.intvalue$if_false0, value: 25939, line num: 26746
key: screen.drawline$while_end0, value: 22348, line num: 23019
key: string.dispose$if_false0, value: 25310, line num: 26086
key: string.intvalue$if_false1, value: 26025, line num: 26835
key: string.intvalue$if_false2, value: 26247, line num: 27064
key: string.intvalue$if_false3, value: 26282, line num: 27102
key: output.printchar$if_true0, value: 19640, line num: 20199
key: RET_ADDRESS_LT0, value: 798, line num: 822
key: math.sqrt$while_end0, value: 8348, line num: 8715
key: output.printchar$if_true1, value: 19689, line num: 20253
key: RET_ADDRESS_LT1, value: 886, line num: 912
key: output.printchar$if_true2, value: 19748, line num: 20316
key: RET_ADDRESS_LT2, value: 916, line num: 943
key: keyboard.readline, value: 6132, line num: 6407
key: output.createshiftedmap$while_end0, value: 18859, line num: 19384
key: output.printchar$if_true3, value: 19811, line num: 20382
key: RET_ADDRESS_LT3, value: 948, line num: 977
key: RET_ADDRESS_GT20, value: 8816, line num: 9203
key: output.createshiftedmap$while_end1, value: 18795, line num: 19315
key: RET_ADDRESS_LT4, value: 979, line num: 1009
key: RET_ADDRESS_GT21, value: 8896, line num: 9287
key: RET_ADDRESS_LT5, value: 1178, line num: 1215
key: RET_ADDRESS_GT22, value: 18903, line num: 19431
key: LOOP_screen.drawrectangle, value: 22356, line num: 23029
key: RET_ADDRESS_LT6, value: 1632, line num: 1694
key: RET_ADDRESS_GT23, value: 19382, line num: 19927
key: RET_ADDRESS_LT7, value: 1758, line num: 1826
key: RET_ADDRESS_GT24, value: 19424, line num: 19971
key: RET_ADDRESS_LT8, value: 1979, line num: 2058
key: RET_ADDRESS_GT25, value: 20161, line num: 20754
key: RET_ADDRESS_LT9, value: 2018, line num: 2099
key: RET_ADDRESS_CALL230, value: 17674, line num: 18180
key: RET_ADDRESS_GT26, value: 20948, line num: 21568
key: RET_ADDRESS_CALL231, value: 17759, line num: 18266
key: RET_ADDRESS_GT27, value: 20990, line num: 21612
key: RET_ADDRESS_CALL100, value: 5740, line num: 5985
key: RET_ADDRESS_CALL232, value: 17832, line num: 18340
key: RET_ADDRESS_GT28, value: 21331, line num: 21970
key: bat.draw, value: 2954, line num: 3077
key: RET_ADDRESS_CALL101, value: 5766, line num: 6012
key: RET_ADDRESS_CALL233, value: 17865, line num: 18375
key: RET_ADDRESS_GT29, value: 21375, line num: 22016
key: screen.drawrectangle$if_true0, value: 22501, line num: 23181
key: string.setint$while_end0, value: 26630, line num: 27465
key: RET_ADDRESS_CALL102, value: 5797, line num: 6046
key: RET_ADDRESS_CALL234, value: 18483, line num: 18996
key: screen.drawrectangle$if_true1, value: 22965, line num: 23656
key: string.setint$while_end1, value: 27003, line num: 27850
key: RET_ADDRESS_CALL103, value: 5851, line num: 6105
key: RET_ADDRESS_CALL235, value: 18580, line num: 19096
key: LOOP_ball.setdestination, value: 654, line num: 675
key: RET_ADDRESS_CALL104, value: 5875, line num: 6131
key: RET_ADDRESS_CALL236, value: 18745, line num: 19264
key: output.getmap$if_false0, value: 18925, line num: 19455
key: RET_ADDRESS_CALL105, value: 5907, line num: 6165
key: output.getmap$if_false1, value: 18976, line num: 19508
key: RET_ADDRESS_CALL237, value: 19049, line num: 19585
key: RET_ADDRESS_CALL106, value: 5942, line num: 6203
key: RET_ADDRESS_CALL238, value: 19454, line num: 20003
key: RET_ADDRESS_CALL107, value: 5967, line num: 6230
key: RET_ADDRESS_CALL239, value: 19484, line num: 20035
key: RET_ADDRESS_CALL108, value: 6027, line num: 6294
key: RET_ADDRESS_CALL109, value: 6082, line num: 6354
key: math.multiply$if_false0, value: 7029, line num: 7346
key: math.multiply$if_false1, value: 7192, line num: 7514
key: math.multiply$if_false2, value: 7278, line num: 7603
key: math.multiply$while_exp0, value: 7029, line num: 7347
key: ball.move$if_false0, value: 1219, line num: 1258
key: ball.show, value: 387, line num: 397
key: ball.move$if_false1, value: 1335, line num: 1379
key: ball.move$if_false2, value: 1309, line num: 1351
key: screen.drawcircle$while_exp0, value: 24833, line num: 25585
key: ball.move$if_false3, value: 1377, line num: 1423
key: RET_ADDRESS_LT10, value: 3286, line num: 3420
key: ball.move$if_false4, value: 1485, line num: 1539
key: RET_ADDRESS_LT11, value: 5490, line num: 5725
key: ball.move$if_false5, value: 1459, line num: 1511
key: RET_ADDRESS_LT12, value: 5553, line num: 5790
key: ball.move$if_false6, value: 1527, line num: 1583
key: RET_ADDRESS_LT13, value: 6613, line num: 6914
key: screen.drawconditional$if_end0, value: 21283, line num: 21918
key: RET_ADDRESS_GT30, value: 21830, line num: 22483
key: ball.move$if_false7, value: 1612, line num: 1673
key: RET_ADDRESS_LT14, value: 6789, line num: 7093
key: RET_ADDRESS_GT31, value: 21910, line num: 22565
key: ball.move$if_false8, value: 1675, line num: 1739
key: RET_ADDRESS_LT15, value: 6846, line num: 7155
key: RET_ADDRESS_GT32, value: 22382, line num: 23056
key: ball.move$if_false9, value: 1738, line num: 1805
key: RET_ADDRESS_LT16, value: 6896, line num: 7208
key: RET_ADDRESS_GT33, value: 22402, line num: 23077
key: ponggame.run, value: 4539, line num: 4719
key: RET_ADDRESS_LT17, value: 6983, line num: 7298
key: RET_ADDRESS_GT34, value: 22445, line num: 23122
key: sys.halt$while_end0, value: 27194, line num: 28057
key: RET_ADDRESS_LT18, value: 7048, line num: 7367
key: RET_ADDRESS_GT35, value: 22489, line num: 23168
key: RET_ADDRESS_LT19, value: 7356, line num: 7688
key: RET_ADDRESS_CALL240, value: 19520, line num: 20072
key: RET_ADDRESS_GT36, value: 22905, line num: 23594
key: ponggame.run$if_end0, value: 4831, line num: 5031
key: RET_ADDRESS_CALL241, value: 19572, line num: 20125
key: RET_ADDRESS_GT37, value: 23357, line num: 24063
key: ponggame.run$if_end1, value: 4831, line num: 5030
key: RET_ADDRESS_CALL110, value: 6094, line num: 6367
key: RET_ADDRESS_CALL242, value: 19599, line num: 20154
key: RET_ADDRESS_GT38, value: 23424, line num: 24133
key: END_LT, value: 51, line num: 54
key: ponggame.moveball$if_end3, value: 5625, line num: 5868
key: RET_ADDRESS_CALL111, value: 6118, line num: 6392
key: RET_ADDRESS_CALL243, value: 19629, line num: 20186
key: RET_ADDRESS_GT39, value: 24512, line num: 25250
key: RET_ADDRESS_EQ0, value: 1939, line num: 2015
key: RET_ADDRESS_CALL112, value: 6159, line num: 6436
key: RET_ADDRESS_CALL244, value: 19652, line num: 20212
key: RET_ADDRESS_EQ1, value: 1997, line num: 2077
key: RET_ADDRESS_CALL113, value: 6186, line num: 6464
key: RET_ADDRESS_CALL245, value: 19678, line num: 20240
key: RET_ADDRESS_EQ2, value: 2042, line num: 2124
key: RET_ADDRESS_CALL114, value: 6203, line num: 6482
key: RET_ADDRESS_CALL246, value: 19701, line num: 20266
key: RET_ADDRESS_EQ3, value: 2103, line num: 2190
key: main.main, value: 3837, line num: 3987
key: RET_ADDRESS_CALL115, value: 6221, line num: 6501
key: RET_ADDRESS_CALL247, value: 19727, line num: 20294
key: RET_ADDRESS_EQ4, value: 2246, line num: 2339
key: RET_ADDRESS_CALL116, value: 6260, line num: 6542
key: RET_ADDRESS_CALL248, value: 19823, line num: 20395
key: RET_ADDRESS_EQ5, value: 2383, line num: 2482
key: RET_ADDRESS_CALL117, value: 6359, line num: 6646
key: RET_ADDRESS_CALL249, value: 19876, line num: 20454
key: RET_ADDRESS_EQ6, value: 3240, line num: 3372
key: RET_ADDRESS_CALL118, value: 6394, line num: 6683
key: RET_ADDRESS_EQ7, value: 4590, line num: 4773
key: RET_ADDRESS_CALL119, value: 6441, line num: 6735
key: ball.draw, value: 514, line num: 530
key: bat.move$if_false0, value: 3525, line num: 3666
key: RET_ADDRESS_EQ8, value: 4699, line num: 4887
key: bat.getleft, value: 3078, line num: 3204
key: bat.move$if_false1, value: 3303, line num: 3439
